7224 4 4
0.13183 0.13188 0.13176 0.13186 
0.13183 0.13188 0.13176 0.13186 
0.13185 0.13197 0.13179 0.13182 
0.13185 0.13197 0.13179 0.13182 
0.13181 0.13182 0.13159 0.13167 
0.13181 0.13182 0.13159 0.13167 
0.13166 0.13179 0.13161 0.13176 
0.13166 0.13179 0.13161 0.13176 
0.13177 0.13181 0.13168 0.1318 
0.13177 0.13181 0.13168 0.1318 
0.13181 0.13219 0.1318 0.13212 
0.13181 0.13219 0.1318 0.13212 
0.13213 0.13214 0.13202 0.13204 
0.13213 0.13214 0.13202 0.13204 
0.13203 0.13205 0.13188 0.13189 
0.13203 0.13205 0.13188 0.13189 
0.1319 0.1319 0.13174 0.13177 
0.1319 0.1319 0.13174 0.13177 
0.13176 0.13177 0.13137 0.13148 
0.13176 0.13177 0.13137 0.13148 
0.13149 0.13165 0.13148 0.13161 
0.13149 0.13165 0.13148 0.13161 
0.13162 0.13169 0.13157 0.13158 
0.13162 0.13169 0.13157 0.13158 
0.13159 0.13165 0.13157 0.13164 
0.13159 0.13165 0.13157 0.13164 
0.13165 0.13188 0.13165 0.13188 
0.13165 0.13188 0.13165 0.13188 
0.13189 0.13209 0.13188 0.1319 
0.13189 0.13209 0.13188 0.1319 
0.13189 0.1319 0.13178 0.13182 
0.13189 0.1319 0.13178 0.13182 
0.13183 0.13206 0.13182 0.13205 
0.13183 0.13206 0.13182 0.13205 
0.13206 0.13218 0.132 0.13201 
0.13206 0.13218 0.132 0.13201 
0.132 0.13223 0.13196 0.13221 
0.132 0.13223 0.13196 0.13221 
0.13222 0.13222 0.1321 0.13214 
0.13222 0.13222 0.1321 0.13214 
0.13213 0.13228 0.13212 0.13226 
0.13213 0.13228 0.13212 0.13226 
0.13225 0.13227 0.13221 0.13225 
0.13225 0.13227 0.13221 0.13225 
0.13226 0.13251 0.13198 0.132 
0.13226 0.13251 0.13198 0.132 
0.13201 0.13204 0.1317 0.13184 
0.13201 0.13204 0.1317 0.13184 
0.13183 0.13185 0.13172 0.13183 
0.13183 0.13185 0.13172 0.13183 
0.13184 0.13207 0.13179 0.13202 
0.13184 0.13207 0.13179 0.13202 
0.13201 0.13216 0.1319 0.13215 
0.13201 0.13216 0.1319 0.13215 
0.13214 0.13239 0.13208 0.13238 
0.13214 0.13239 0.13208 0.13238 
0.13239 0.13252 0.13219 0.13219 
0.13239 0.13252 0.13219 0.13219 
0.13218 0.13258 0.13217 0.13249 
0.13218 0.13258 0.13217 0.13249 
0.1325 0.13253 0.13232 0.13235 
0.1325 0.13253 0.13232 0.13235 
0.13236 0.13255 0.1323 0.13254 
0.13236 0.13255 0.1323 0.13254 
0.13253 0.1326 0.13239 0.1324 
0.13253 0.1326 0.13239 0.1324 
0.13241 0.13245 0.13227 0.13234 
0.13241 0.13245 0.13227 0.13234 
0.13233 0.13244 0.13232 0.13237 
0.13233 0.13244 0.13232 0.13237 
0.13236 0.13237 0.13225 0.1323 
0.13236 0.13237 0.13225 0.1323 
0.13233 0.13239 0.13226 0.13234 
0.13233 0.13239 0.13226 0.13234 
0.13233 0.13246 0.13232 0.13242 
0.13233 0.13246 0.13232 0.13242 
0.13243 0.13256 0.13236 0.13246 
0.13243 0.13256 0.13236 0.13246 
0.13245 0.13266 0.13235 0.13264 
0.13245 0.13266 0.13235 0.13264 
0.13265 0.13265 0.13226 0.13233 
