144 4 4
0.13994 0.13997 0.1399 0.13991 
0.13994 0.13997 0.1399 0.13991 
0.1399 0.13995 0.13985 0.13991 
0.1399 0.13995 0.13985 0.13991 
0.1399 0.14003 0.13989 0.13991 
0.1399 0.14003 0.13989 0.13991 
0.13992 0.14005 0.13988 0.13999 
0.13992 0.14005 0.13988 0.13999 
0.14 0.14019 0.14 0.14011 
0.14 0.14019 0.14 0.14011 
0.14012 0.14021 0.14008 0.14018 
0.14012 0.14021 0.14008 0.14018 
0.14019 0.1402 0.14012 0.14014 
0.14019 0.1402 0.14012 0.14014 
0.14015 0.14027 0.14006 0.14023 
0.14015 0.14027 0.14006 0.14023 
0.14022 0.14025 0.14012 0.14012 
0.14022 0.14025 0.14012 0.14012 
0.14011 0.14021 0.14007 0.14008 
0.14011 0.14021 0.14007 0.14008 
0.14007 0.14008 0.13992 0.13996 
0.14007 0.14008 0.13992 0.13996 
0.13995 0.14009 0.13995 0.14005 
0.13995 0.14009 0.13995 0.14005 
0.14006 0.1401 0.14002 0.14007 
0.14006 0.1401 0.14002 0.14007 
0.14006 0.14007 0.13996 0.13996 
0.14006 0.14007 0.13996 0.13996 
0.13997 0.13999 0.1398 0.13983 
0.13997 0.13999 0.1398 0.13983 
0.13984 0.13985 0.13958 0.13977 
0.13984 0.13985 0.13958 0.13977 
0.13978 0.1398 0.13967 0.13975 
0.13978 0.1398 0.13967 0.13975 
0.13976 0.13985 0.13975 0.13982 
0.13976 0.13985 0.13975 0.13982 
0.13981 0.13985 0.1397 0.1397 
0.13981 0.13985 0.1397 0.1397 
0.13971 0.13978 0.1397 0.13971 
0.13971 0.13978 0.1397 0.13971 
0.13972 0.13977 0.13971 0.13971 
0.13972 0.13977 0.13971 0.13971 
0.1397 0.13977 0.13966 0.13976 
0.1397 0.13977 0.13966 0.13976 
0.13977 0.1398 0.13974 0.13979 
0.13977 0.1398 0.13974 0.13979 
0.13978 0.13978 0.13971 0.13972 
0.13978 0.13978 0.13971 0.13972 
0.13973 0.13977 0.13971 0.13976 
0.13973 0.13977 0.13971 0.13976 
0.13977 0.13991 0.13976 0.13989 
0.13977 0.13991 0.13976 0.13989 
0.1399 0.13991 0.13986 0.13988 
0.1399 0.13991 0.13986 0.13988 
0.13989 0.13996 0.13981 0.13996 
0.13989 0.13996 0.13981 0.13996 
0.13995 0.13997 0.13986 0.1399 
0.13995 0.13997 0.13986 0.1399 
0.13991 0.13999 0.13988 0.13998 
0.13991 0.13999 0.13988 0.13998 
0.13997 0.14005 0.13997 0.13999 
0.13997 0.14005 0.13997 0.13999 
0.13998 0.14011 0.13998 0.1401 
0.13998 0.14011 0.13998 0.1401 
0.14009 0.14019 0.14008 0.14008 
0.14009 0.14019 0.14008 0.14008 
0.14009 0.14009 0.13996 0.13997 
0.14009 0.14009 0.13996 0.13997 
0.13996 0.14001 0.13991 0.13994 
0.13996 0.14001 0.13991 0.13994 
0.13995 0.13998 0.13989 0.1399 
0.13995 0.13998 0.13989 0.1399 
0.13989 0.13992 0.13988 0.1399 
0.13989 0.13992 0.13988 0.1399 
0.13991 0.13991 0.13985 0.13989 
0.13991 0.13991 0.13985 0.13989 
0.1399 0.13996 0.13989 0.13995 
0.1399 0.13996 0.13989 0.13995 
0.13994 0.14001 0.1399 0.13991 
0.13994 0.14001 0.1399 0.13991 
0.1399 0.13996 0.1399 0.13996 
0.1399 0.13996 0.1399 0.13996 
0.13995 0.13999 0.13992 0.13999 
0.13995 0.13999 0.13992 0.13999 
0.14 0.14007 0.13999 0.14006 
0.14 0.14007 0.13999 0.14006 
0.14005 0.14007 0.14002 0.14006 
0.14005 0.14007 0.14002 0.14006 
0.14007 0.14013 0.14 0.14002 
0.14007 0.14013 0.14 0.14002 
0.14003 0.14005 0.13999 0.14 
0.14003 0.14005 0.13999 0.14 
0.13999 0.14002 0.13998 0.14002 
